"lsoa11cd","date","lsoa11nm","Rural Urban","Family Type: All lone parent housholds with dependent children; measures: Value","Family Type: Lone parent in part-time employment: Total; measures: Value","Family Type: Lone parent in full-time employment: Total; measures: Value","Family Type: Lone parent not in employment: Total; measures: Value","Family Type: Male lone parent: Total; measures: Value","Family Type: Male lone parent: In part-time employment; measures: Value","Family Type: Male lone parent: In full-time employment; measures: Value","Family Type: Male lone parent: Not in employment; measures: Value","Family Type: Female lone parent: Total; measures: Value","Family Type: Female lone parent: In part-time employment; measures: Value","Family Type: Female lone parent: In full-time employment; measures: Value","Family Type: Female lone parent: Not in employment; measures: Value"
"E01026811",2011,"Norwich 012B","Total",10,2,6,2,3,0,3,0,7,2,3,2
"E01026812",2011,"Norwich 012C","Total",17,2,11,4,2,0,2,0,15,2,9,4
"E01026813",2011,"Norwich 012D","Total",11,4,1,6,0,0,0,0,11,4,1,6
"E01026814",2011,"Norwich 012E","Total",37,12,6,19,6,3,2,1,31,9,4,18
"E01026815",2011,"Norwich 012F","Total",31,18,9,4,6,4,2,0,25,14,7,4
"E01026816",2011,"Norwich 013A","Total",57,20,14,23,5,0,5,0,52,20,9,23
"E01026817",2011,"Norwich 013B","Total",47,14,8,25,2,0,1,1,45,14,7,24
"E01026818",2011,"Norwich 013C","Total",76,25,12,39,7,2,2,3,69,23,10,36
"E01026819",2011,"Norwich 013D","Total",87,32,22,33,10,0,5,5,77,32,17,28
"E01026820",2011,"Norwich 013E","Total",73,21,9,43,10,0,4,6,63,21,5,37
"E01026821",2011,"Norwich 013F","Total",57,25,6,26,5,0,1,4,52,25,5,22
"E01026822",2011,"Norwich 007A","Total",53,17,11,25,6,1,3,2,47,16,8,23
"E01026823",2011,"Norwich 007B","Total",37,12,13,12,4,3,1,0,33,9,12,12
"E01026824",2011,"Norwich 007C","Total",47,17,4,26,4,0,0,4,43,17,4,22
"E01026825",2011,"Norwich 007D","Total",37,13,9,15,7,0,5,2,30,13,4,13
"E01026826",2011,"Norwich 007E","Total",56,22,8,26,8,2,3,3,48,20,5,23
"E01026827",2011,"Norwich 007F","Total",71,21,3,47,5,1,0,4,66,20,3,43
"E01026828",2011,"Norwich 002A","Total",90,29,17,44,7,0,4,3,83,29,13,41
"E01026829",2011,"Norwich 002B","Total",91,23,10,58,6,0,3,3,85,23,7,55
"E01026830",2011,"Norwich 002C","Total",62,16,17,29,9,2,4,3,53,14,13,26
"E01026831",2011,"Norwich 002D","Total",29,11,11,7,1,0,1,0,28,11,10,7
"E01026832",2011,"Norwich 002E","Total",66,22,6,38,5,1,1,3,61,21,5,35
"E01026833",2011,"Norwich 002F","Total",78,16,19,43,13,1,9,3,65,15,10,40
"E01026834",2011,"Norwich 002G","Total",77,26,14,37,11,2,5,4,66,24,9,33
"E01026835",2011,"Norwich 009A","Total",48,17,14,17,3,0,1,2,45,17,13,15
"E01026836",2011,"Norwich 009B","Total",43,21,19,3,6,0,5,1,37,21,14,2
"E01026837",2011,"Norwich 009C","Total",22,7,6,9,4,1,2,1,18,6,4,8
"E01026838",2011,"Norwich 009D","Total",29,10,11,8,3,0,3,0,26,10,8,8
"E01026839",2011,"Norwich 009E","Total",31,18,4,9,4,2,2,0,27,16,2,9
