"lsoa11cd","date","lsoa11nm","Rural Urban","Occupancy Rating: All categories: Occupancy rating (rooms); measures: Value","Occupancy Rating: Occupancy rating (rooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (rooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (rooms) of -2 or less; measures: Value"
"E01026864",2011,"Norwich 006B","Total",657,345,169,107,29,7
"E01026865",2011,"Norwich 006C","Total",805,205,279,251,56,14
"E01026866",2011,"Norwich 006D","Total",767,428,152,150,28,9
"E01026867",2011,"Norwich 006E","Total",562,227,146,141,40,8
"E01026868",2011,"Norwich 006F","Total",565,214,158,143,44,6
"E01026869",2011,"Norwich 006G","Total",657,221,201,205,24,6
"E01033434",2011,"Norwich 011G","Total",615,168,115,164,154,14
"E01033435",2011,"Norwich 005G","Total",705,293,216,153,36,7
"E01033436",2011,"Norwich 005H","Total",596,198,173,193,29,3
"E01033437",2011,"Norwich 011H","Total",786,182,221,290,70,23
"E01033438",2011,"Norwich 014A","Total",878,239,138,337,137,27
"E01033439",2011,"Norwich 014B","Total",763,314,105,174,110,60
"E01033440",2011,"Norwich 014C","Total",662,100,183,237,127,15
"E01033441",2011,"Norwich 014D","Total",773,137,177,261,161,37
