"lsoa11cd","date","lsoa11nm","Rural Urban","Household Deprivation: All categories: Classification of household deprivation; measures: Value","Household Deprivation: Household is not deprived in any dimension; measures: Value","Household Deprivation: Household is deprived in 1 dimension; measures: Value","Household Deprivation: Household is deprived in 2 dimensions; measures: Value","Household Deprivation: Household is deprived in 3 dimensions; measures: Value","Household Deprivation: Household is deprived in 4 dimensions; measures: Value"
"E01026824",2011,"Norwich 007C","Total",868,284,261,230,86,7
"E01026825",2011,"Norwich 007D","Total",718,317,173,152,64,12
"E01026826",2011,"Norwich 007E","Total",864,272,257,226,98,11
"E01026827",2011,"Norwich 007F","Total",931,223,298,302,106,2
"E01026828",2011,"Norwich 002A","Total",664,179,236,179,69,1
"E01026829",2011,"Norwich 002B","Total",857,318,290,181,68,0
"E01026830",2011,"Norwich 002C","Total",682,210,228,180,57,7
"E01026831",2011,"Norwich 002D","Total",632,363,164,83,20,2
"E01026832",2011,"Norwich 002E","Total",498,127,191,136,43,1
"E01026833",2011,"Norwich 002F","Total",696,158,240,220,74,4
"E01026834",2011,"Norwich 002G","Total",644,182,227,172,60,3
"E01026835",2011,"Norwich 009A","Total",643,401,175,59,8,0
"E01026836",2011,"Norwich 009B","Total",646,417,167,55,7,0
"E01026837",2011,"Norwich 009C","Total",735,413,209,96,15,2
"E01026838",2011,"Norwich 009D","Total",645,436,159,43,7,0
"E01026839",2011,"Norwich 009E","Total",668,447,156,54,10,1
"E01026840",2011,"Norwich 009F","Total",759,513,171,57,17,1
"E01026841",2011,"Norwich 003A","Total",726,420,167,110,25,4
"E01026842",2011,"Norwich 003B","Total",818,444,252,99,21,2
"E01026843",2011,"Norwich 003C","Total",902,363,282,195,56,6
"E01026844",2011,"Norwich 003D","Total",823,337,273,151,55,7
"E01026845",2011,"Norwich 003E","Total",786,483,207,73,20,3
"E01026846",2011,"Norwich 003F","Total",811,422,221,121,45,2
"E01026848",2011,"Norwich 015A","Total",1015,291,340,272,103,9
"E01026849",2011,"Norwich 015B","Total",913,533,269,82,24,5
"E01026850",2011,"Norwich 015C","Total",952,534,247,130,38,3
"E01026852",2011,"Norwich 011A","Total",598,362,170,61,4,1
"E01026853",2011,"Norwich 011B","Total",1011,341,314,259,90,7
"E01026855",2011,"Norwich 011D","Total",773,444,230,82,17,0
"E01026856",2011,"Norwich 011E","Total",847,525,213,75,33,1
"E01026857",2011,"Norwich 011F","Total",751,418,189,127,16,1
"E01026858",2011,"Norwich 010A","Total",745,217,225,200,101,2
"E01026859",2011,"Norwich 010B","Total",640,274,214,119,28,5
"E01026860",2011,"Norwich 010C","Total",470,175,169,110,15,1
"E01026861",2011,"Norwich 010D","Total",549,181,178,150,39,1
"E01026862",2011,"Norwich 010E","Total",497,213,161,105,17,1
"E01026863",2011,"Norwich 006A","Total",771,395,222,122,32,0
"E01026864",2011,"Norwich 006B","Total",657,274,235,118,29,1
"E01026865",2011,"Norwich 006C","Total",805,270,230,234,69,2
"E01026866",2011,"Norwich 006D","Total",767,388,206,128,41,4
"E01026867",2011,"Norwich 006E","Total",562,149,192,162,56,3
"E01026868",2011,"Norwich 006F","Total",565,181,198,118,62,6
"E01026869",2011,"Norwich 006G","Total",657,169,210,194,79,5
"E01033434",2011,"Norwich 011G","Total",615,282,247,74,12,0
"E01033435",2011,"Norwich 005G","Total",705,433,181,63,27,1
"E01033436",2011,"Norwich 005H","Total",596,184,196,167,46,3
"E01033437",2011,"Norwich 011H","Total",786,233,245,224,75,9
"E01033438",2011,"Norwich 014A","Total",878,335,277,213,46,7
"E01033439",2011,"Norwich 014B","Total",763,356,232,128,41,6
"E01033440",2011,"Norwich 014C","Total",662,268,215,121,51,7
"E01033441",2011,"Norwich 014D","Total",773,380,287,72,30,4
