"lsoa11cd","date","lsoa11nm","Rural Urban","Age of Arrival in UK: All categories: Age of arrival in the UK; measures: Value","Age of Arrival in UK: Born in the UK; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 0 to 4; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 5 to 7; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 8 to 9; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 10 to 14; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 15; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 16 to 17; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 18 to 19; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 20 to 24; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 25 to 29; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 30 to 44; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 45 to 59; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 60 to 64; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 65 to 74; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 75 to 84; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 85 to 89; measures: Value","Age of Arrival in UK: Age of arrival in the UK: 90 and over; measures: Value"
"E01026845",2011,"Norwich 003E","Total",1561,1365,28,6,3,20,3,6,9,40,33,40,6,2,0,0,0,0
"E01026846",2011,"Norwich 003F","Total",1626,1360,28,12,4,14,8,10,22,62,50,48,8,0,0,0,0,0
"E01026848",2011,"Norwich 015A","Total",1856,1624,26,6,6,14,1,11,12,53,49,41,12,0,1,0,0,0
"E01026849",2011,"Norwich 015B","Total",1738,1505,34,7,2,10,3,6,11,47,53,50,9,0,0,1,0,0
"E01026850",2011,"Norwich 015C","Total",1827,1605,45,5,8,11,0,5,15,42,44,37,8,2,0,0,0,0
"E01026852",2011,"Norwich 011A","Total",1295,1171,19,3,3,5,2,2,11,23,20,29,5,0,1,1,0,0
"E01026853",2011,"Norwich 011B","Total",1751,1481,34,10,5,18,2,10,17,48,55,61,9,0,1,0,0,0
"E01026855",2011,"Norwich 011D","Total",1568,1361,34,9,6,5,1,13,18,36,33,47,5,0,0,0,0,0
"E01026856",2011,"Norwich 011E","Total",1821,1595,30,7,9,14,1,14,20,48,45,30,6,1,1,0,0,0
"E01026857",2011,"Norwich 011F","Total",1515,1365,30,7,5,6,2,8,15,23,24,26,3,0,0,1,0,0
"E01026858",2011,"Norwich 010A","Total",1512,1279,24,7,7,14,1,17,25,57,42,30,7,1,0,1,0,0
"E01026859",2011,"Norwich 010B","Total",1659,1517,23,10,5,7,1,6,19,27,16,24,4,0,0,0,0,0
"E01026860",2011,"Norwich 010C","Total",4313,2831,67,19,17,61,18,196,416,527,99,59,2,0,0,1,0,0
"E01026861",2011,"Norwich 010D","Total",1493,1300,24,15,2,16,4,15,25,42,18,28,4,0,0,0,0,0
"E01026862",2011,"Norwich 010E","Total",1302,1179,21,8,4,6,0,5,13,19,26,19,1,0,0,1,0,0
"E01026863",2011,"Norwich 006A","Total",1814,1559,26,10,6,20,1,17,20,55,45,44,7,1,2,1,0,0
