"lsoa11cd","date","lsoa11nm","Rural Urban","Economic Activity: All categories: Economic activity; measures: Value","Economic Activity: Economically active: Total; measures: Value","Economic Activity: Economically active: Employee: Part-time; measures: Value","Economic Activity: Economically active: Employee: Full-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value","Economic Activity: Economically active: Unemployed; measures: Value","Economic Activity: Economically active: Full-time student; measures: Value","Economic Activity: Economically inactive: Total; measures: Value","Economic Activity: Economically inactive: Retired; measures: Value","Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Economic Activity: Economically inactive: Looking after home or family; measures: Value","Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Economic Activity: Economically inactive: Other; measures: Value"
"E01026829",2011,"Norwich 002B","Total",857,624,101,391,0,7,10,48,59,8,233,111,10,37,52,23
"E01026830",2011,"Norwich 002C","Total",682,411,71,262,0,2,13,18,41,4,271,186,5,22,45,13
"E01026831",2011,"Norwich 002D","Total",632,532,48,371,2,10,15,48,23,15,100,55,10,5,19,11
"E01026832",2011,"Norwich 002E","Total",498,313,63,177,2,4,9,24,28,6,185,122,4,29,24,6
"E01026833",2011,"Norwich 002F","Total",696,417,83,235,1,5,6,19,66,2,279,152,3,30,68,26
"E01026834",2011,"Norwich 002G","Total",644,396,69,256,1,7,9,23,27,4,248,170,1,26,36,15
"E01026835",2011,"Norwich 009A","Total",643,513,66,290,1,17,20,38,9,72,130,76,26,8,12,8
"E01026836",2011,"Norwich 009B","Total",646,524,49,338,0,11,20,38,11,57,122,92,16,2,6,6
"E01026837",2011,"Norwich 009C","Total",735,553,53,354,3,27,22,42,16,36,182,132,26,5,14,5
"E01026838",2011,"Norwich 009D","Total",645,486,44,305,5,17,19,39,9,48,159,116,31,4,6,2
"E01026839",2011,"Norwich 009E","Total",668,554,52,331,2,10,12,39,11,97,114,51,39,2,10,12
"E01026840",2011,"Norwich 009F","Total",759,628,72,393,1,12,17,59,17,57,131,78,25,12,10,6
"E01026841",2011,"Norwich 003A","Total",726,597,58,442,2,10,10,39,19,17,129,78,8,8,25,10
"E01026842",2011,"Norwich 003B","Total",818,668,66,477,2,13,17,60,21,12,150,115,10,9,9,7
"E01026843",2011,"Norwich 003C","Total",902,616,93,405,1,5,15,55,36,6,286,199,10,21,46,10
"E01026844",2011,"Norwich 003D","Total",823,572,85,375,0,5,11,43,47,6,251,140,11,30,53,17
"E01026845",2011,"Norwich 003E","Total",786,679,63,501,3,10,12,62,18,10,107,68,11,8,13,7
"E01026846",2011,"Norwich 003F","Total",811,650,91,444,3,9,13,42,34,14,161,97,10,9,31,14
"E01026848",2011,"Norwich 015A","Total",1015,577,86,365,4,9,7,40,62,4,438,247,13,38,110,30
"E01026849",2011,"Norwich 015B","Total",913,740,69,518,4,27,16,57,37,12,173,137,6,3,19,8
"E01026850",2011,"Norwich 015C","Total",952,743,65,530,3,23,21,62,34,5,209,142,6,14,39,8
"E01026852",2011,"Norwich 011A","Total",598,407,59,273,1,12,21,32,4,5,191,176,3,1,6,5
"E01026853",2011,"Norwich 011B","Total",1011,586,98,379,0,14,16,32,39,8,425,279,3,15,109,19
"E01026855",2011,"Norwich 011D","Total",773,556,70,352,2,19,18,44,15,36,217,168,26,8,11,4
"E01026856",2011,"Norwich 011E","Total",847,672,80,403,1,13,17,42,23,93,175,102,32,10,24,7
"E01026857",2011,"Norwich 011F","Total",751,428,48,245,2,20,25,44,8,36,323,282,18,5,15,3
"E01026858",2011,"Norwich 010A","Total",745,366,68,187,0,2,8,25,40,36,379,259,40,18,49,13
"E01026859",2011,"Norwich 010B","Total",640,394,60,238,0,4,15,29,19,29,246,144,21,31,35,15
"E01026860",2011,"Norwich 010C","Total",470,250,43,124,1,2,9,25,17,29,220,163,29,7,18,3
"E01026861",2011,"Norwich 010D","Total",549,330,65,152,0,4,7,23,30,49,219,129,26,18,35,11
"E01026862",2011,"Norwich 010E","Total",497,296,39,175,0,15,6,24,9,28,201,156,15,13,13,4
"E01026863",2011,"Norwich 006A","Total",771,542,60,325,2,12,11,50,23,59,229,152,29,17,26,5
"E01026864",2011,"Norwich 006B","Total",657,458,54,306,0,9,10,53,20,6,199,150,3,23,18,5
"E01026865",2011,"Norwich 006C","Total",805,530,86,317,2,7,10,37,45,26,275,147,22,31,59,16
"E01026866",2011,"Norwich 006D","Total",767,545,66,353,1,8,17,37,32,31,222,132,24,12,39,15
"E01026867",2011,"Norwich 006E","Total",562,361,71,201,0,6,13,29,37,4,201,99,13,34,42,13
"E01026868",2011,"Norwich 006F","Total",565,353,75,188,2,5,12,27,20,24,212,88,28,42,43,11
"E01026869",2011,"Norwich 006G","Total",657,394,80,204,1,4,9,27,63,6,263,139,2,25,77,20
"E01033434",2011,"Norwich 011G","Total",615,485,30,360,2,12,13,37,10,21,130,88,20,3,10,9
"E01033435",2011,"Norwich 005G","Total",705,551,53,391,0,13,6,38,16,34,154,40,72,13,22,7
"E01033436",2011,"Norwich 005H","Total",596,341,65,206,0,1,3,16,28,22,255,156,24,23,41,11
"E01033437",2011,"Norwich 011H","Total",786,453,89,232,0,6,20,22,67,17,333,186,23,14,92,18
"E01033438",2011,"Norwich 014A","Total",878,464,50,290,3,23,14,37,37,10,414,340,18,4,36,16
"E01033439",2011,"Norwich 014B","Total",763,649,56,468,1,12,14,42,42,14,114,65,8,6,26,9
"E01033440",2011,"Norwich 014C","Total",662,515,65,332,0,15,11,39,39,14,147,45,22,4,62,14
"E01033441",2011,"Norwich 014D","Total",773,628,37,473,3,20,11,51,22,11,145,67,31,18,20,9
