"lsoa11cd","date","lsoa11nm","Rural Urban","Multiple Ethnic Group: All categories: Multiple ethnic groups; measures: Value","Multiple Ethnic Group: One person household; measures: Value","Multiple Ethnic Group: All household members have the same ethnic group; measures: Value","Multiple Ethnic Group: Different ethnic groups between the generations only; measures: Value","Multiple Ethnic Group: Different ethnic groups within partnerships (whether or not different ethnic groups between generations); measures: Value","Multiple Ethnic Group: Any other combination of multiple ethnic groups; measures: Value"
"E01026822",2011,"Norwich 007A","Total",1228,694,434,16,49,35
"E01026823",2011,"Norwich 007B","Total",1099,597,389,20,60,33
"E01026824",2011,"Norwich 007C","Total",868,476,328,7,29,28
"E01026825",2011,"Norwich 007D","Total",718,359,295,9,31,24
"E01026826",2011,"Norwich 007E","Total",864,515,299,13,21,16
"E01026827",2011,"Norwich 007F","Total",931,547,335,18,20,11
"E01026828",2011,"Norwich 002A","Total",664,162,456,22,16,8
"E01026829",2011,"Norwich 002B","Total",857,266,524,12,31,24
"E01026830",2011,"Norwich 002C","Total",682,312,330,10,19,11
"E01026831",2011,"Norwich 002D","Total",632,257,315,7,27,26
"E01026832",2011,"Norwich 002E","Total",498,99,370,14,10,5
"E01026833",2011,"Norwich 002F","Total",696,321,342,11,18,4
"E01026834",2011,"Norwich 002G","Total",644,206,395,18,20,5
"E01026835",2011,"Norwich 009A","Total",643,236,300,19,33,55
"E01026836",2011,"Norwich 009B","Total",646,181,366,17,43,39
"E01026837",2011,"Norwich 009C","Total",735,338,317,5,52,23
"E01026838",2011,"Norwich 009D","Total",645,171,374,8,58,34
"E01026839",2011,"Norwich 009E","Total",668,204,360,9,35,60
"E01026840",2011,"Norwich 009F","Total",759,233,429,14,38,45
"E01026841",2011,"Norwich 003A","Total",726,272,401,12,26,15
"E01026842",2011,"Norwich 003B","Total",818,324,427,7,40,20
"E01026843",2011,"Norwich 003C","Total",902,338,499,21,35,9
"E01026844",2011,"Norwich 003D","Total",823,314,444,25,31,9
"E01026845",2011,"Norwich 003E","Total",786,286,439,10,28,23
"E01026846",2011,"Norwich 003F","Total",811,320,413,16,41,21
"E01026848",2011,"Norwich 015A","Total",1015,512,438,24,33,8
"E01026849",2011,"Norwich 015B","Total",913,409,434,5,48,17
"E01026850",2011,"Norwich 015C","Total",952,390,499,6,46,11
"E01026852",2011,"Norwich 011A","Total",598,228,323,4,35,8
"E01026853",2011,"Norwich 011B","Total",1011,534,409,15,38,15
"E01026855",2011,"Norwich 011D","Total",773,332,364,9,32,36
"E01026856",2011,"Norwich 011E","Total",847,306,408,19,43,71
"E01026857",2011,"Norwich 011F","Total",751,327,354,6,40,24
"E01026858",2011,"Norwich 010A","Total",745,323,366,15,11,30
"E01026859",2011,"Norwich 010B","Total",640,154,422,12,26,26
"E01026860",2011,"Norwich 010C","Total",470,152,266,5,21,26
"E01026861",2011,"Norwich 010D","Total",549,105,371,15,12,46
"E01026862",2011,"Norwich 010E","Total",497,122,322,12,18,23
"E01026863",2011,"Norwich 006A","Total",771,215,468,7,34,47
"E01026864",2011,"Norwich 006B","Total",657,169,442,9,25,12
"E01026865",2011,"Norwich 006C","Total",805,236,493,18,33,25
"E01026866",2011,"Norwich 006D","Total",767,293,409,15,21,29
"E01026867",2011,"Norwich 006E","Total",562,136,368,16,13,29
"E01026868",2011,"Norwich 006F","Total",565,119,387,15,17,27
"E01026869",2011,"Norwich 006G","Total",657,264,358,13,16,6
"E01033434",2011,"Norwich 011G","Total",615,311,240,7,37,20
"E01033435",2011,"Norwich 005G","Total",705,144,447,17,51,46
"E01033436",2011,"Norwich 005H","Total",596,187,367,12,12,18
"E01033437",2011,"Norwich 011H","Total",786,460,275,20,21,10
"E01033438",2011,"Norwich 014A","Total",878,557,271,3,29,18
"E01033439",2011,"Norwich 014B","Total",763,366,330,7,40,20
"E01033440",2011,"Norwich 014C","Total",662,377,226,9,33,17
"E01033441",2011,"Norwich 014D","Total",773,428,273,15,39,18
