"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All categories: Tenure; measures: Value","Tenure: Owned; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Rented from council (Local Authority); measures: Value","Tenure: Other social rented; measures: Value","Tenure: Private rented; measures: Value","Tenure: Living rent free; measures: Value"
"E01026860",2011,"Norwich 010C","Total",175,108,0,56,3,6,2
"E01026861",2011,"Norwich 010D","Total",134,67,0,56,4,0,7
"E01026862",2011,"Norwich 010E","Total",160,64,0,40,48,5,3
"E01026863",2011,"Norwich 006A","Total",157,104,0,34,6,7,6
"E01026864",2011,"Norwich 006B","Total",158,110,0,18,21,5,4
"E01026865",2011,"Norwich 006C","Total",132,30,1,95,5,1,0
"E01026866",2011,"Norwich 006D","Total",145,105,0,28,2,8,2
"E01026867",2011,"Norwich 006E","Total",105,48,0,51,2,1,3
"E01026868",2011,"Norwich 006F","Total",92,33,0,54,4,1,0
"E01026869",2011,"Norwich 006G","Total",137,49,0,82,2,3,1
"E01033434",2011,"Norwich 011G","Total",83,37,0,38,1,5,2
"E01033435",2011,"Norwich 005G","Total",46,23,1,10,9,2,1
"E01033436",2011,"Norwich 005H","Total",156,54,0,66,31,2,3
"E01033437",2011,"Norwich 011H","Total",186,43,0,127,3,4,9
"E01033438",2011,"Norwich 014A","Total",354,181,2,8,116,46,1
"E01033439",2011,"Norwich 014B","Total",68,52,0,0,2,12,2
"E01033440",2011,"Norwich 014C","Total",42,17,0,18,4,3,0
"E01033441",2011,"Norwich 014D","Total",63,39,0,13,4,6,1
