"lsoa11cd","date","lsoa11nm","Rural Urban","Bedrooms: All categories: Number of bedrooms; measures: Value","Bedrooms: No bedrooms; measures: Value","Bedrooms: 1 bedroom; measures: Value","Bedrooms: 2 bedrooms; measures: Value","Bedrooms: 3 bedrooms; measures: Value","Bedrooms: 4 bedrooms; measures: Value","Bedrooms: 5 or more bedrooms; measures: Value"
"E01026824",2011,"Norwich 007C","Total",868,2,246,446,132,29,13
"E01026825",2011,"Norwich 007D","Total",718,4,202,310,165,23,14
"E01026826",2011,"Norwich 007E","Total",864,15,389,313,132,14,1
"E01026827",2011,"Norwich 007F","Total",931,3,300,489,129,8,2
"E01026828",2011,"Norwich 002A","Total",664,1,22,161,443,28,9
"E01026829",2011,"Norwich 002B","Total",857,1,92,259,382,95,28
"E01026830",2011,"Norwich 002C","Total",682,3,199,206,242,25,7
"E01026831",2011,"Norwich 002D","Total",632,0,77,216,272,49,18
"E01026832",2011,"Norwich 002E","Total",498,2,12,43,403,32,6
"E01026833",2011,"Norwich 002F","Total",696,0,128,314,240,10,4
"E01026834",2011,"Norwich 002G","Total",644,1,73,152,384,27,7
"E01026835",2011,"Norwich 009A","Total",643,2,110,140,189,139,63
"E01026836",2011,"Norwich 009B","Total",646,3,66,122,238,152,65
"E01026837",2011,"Norwich 009C","Total",735,7,226,173,163,99,67
"E01026838",2011,"Norwich 009D","Total",645,0,23,159,289,144,30
"E01026839",2011,"Norwich 009E","Total",668,2,70,184,264,98,50
"E01026840",2011,"Norwich 009F","Total",759,0,38,307,305,74,35
"E01026841",2011,"Norwich 003A","Total",726,1,64,287,344,22,8
"E01026842",2011,"Norwich 003B","Total",818,1,132,284,341,49,11
"E01026843",2011,"Norwich 003C","Total",902,1,142,233,448,67,11
"E01026844",2011,"Norwich 003D","Total",823,1,158,250,358,53,3
"E01026845",2011,"Norwich 003E","Total",786,2,49,344,367,16,8
"E01026846",2011,"Norwich 003F","Total",811,0,108,329,328,39,7
"E01026848",2011,"Norwich 015A","Total",1015,2,245,516,222,25,5
"E01026849",2011,"Norwich 015B","Total",913,5,221,297,212,132,46
"E01026850",2011,"Norwich 015C","Total",952,1,83,412,391,52,13
"E01026852",2011,"Norwich 011A","Total",598,1,67,125,288,80,37
"E01026853",2011,"Norwich 011B","Total",1011,6,303,370,292,29,11
"E01026855",2011,"Norwich 011D","Total",773,1,106,225,294,94,53
"E01026856",2011,"Norwich 011E","Total",847,2,128,272,287,111,47
"E01026857",2011,"Norwich 011F","Total",751,1,135,181,214,126,94
"E01026858",2011,"Norwich 010A","Total",745,1,152,245,300,34,13
"E01026859",2011,"Norwich 010B","Total",640,1,32,177,314,88,28
"E01026860",2011,"Norwich 010C","Total",470,1,17,134,201,91,26
"E01026861",2011,"Norwich 010D","Total",549,1,18,107,343,61,19
"E01026862",2011,"Norwich 010E","Total",497,0,42,47,284,92,32
"E01026863",2011,"Norwich 006A","Total",771,1,39,231,364,97,39
"E01026864",2011,"Norwich 006B","Total",657,2,42,150,406,46,11
"E01026865",2011,"Norwich 006C","Total",805,2,107,260,370,54,12
"E01026866",2011,"Norwich 006D","Total",767,1,102,216,368,61,19
"E01026867",2011,"Norwich 006E","Total",562,2,22,108,304,98,28
"E01026868",2011,"Norwich 006F","Total",565,0,19,114,318,79,35
"E01026869",2011,"Norwich 006G","Total",657,3,111,173,353,15,2
"E01033434",2011,"Norwich 011G","Total",615,0,198,223,132,51,11
"E01033435",2011,"Norwich 005G","Total",705,0,26,248,233,150,48
"E01033436",2011,"Norwich 005H","Total",596,0,82,207,246,43,18
"E01033437",2011,"Norwich 011H","Total",786,6,261,281,181,40,17
"E01033438",2011,"Norwich 014A","Total",878,6,449,211,137,43,32
"E01033439",2011,"Norwich 014B","Total",763,5,284,178,216,52,28
"E01033440",2011,"Norwich 014C","Total",662,1,205,341,81,27,7
"E01033441",2011,"Norwich 014D","Total",773,1,276,349,123,21,3
