"lsoa11cd","date","lsoa11nm","Rural Urban","Hours Worked: All usual residents aged 16 to 74 in employment the week before the census; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Males: Total; measures: Value","Hours Worked: Males: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Males: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Males: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Males: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Females: Total; measures: Value","Hours Worked: Females: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Females: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Females: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Females: Full-time: 49 or more hours worked; measures: Value"
"E01026861",2011,"Norwich 010D","Total",555,114,144,257,40,271,33,41,165,32,284,81,103,92,8
"E01026862",2011,"Norwich 010E","Total",574,106,128,282,58,278,32,28,179,39,296,74,100,103,19
"E01026863",2011,"Norwich 006A","Total",908,128,171,511,98,469,39,51,314,65,439,89,120,197,33
"E01026864",2011,"Norwich 006B","Total",781,68,162,460,91,415,20,45,275,75,366,48,117,185,16
"E01026865",2011,"Norwich 006C","Total",810,98,179,461,72,412,23,56,278,55,398,75,123,183,17
"E01026866",2011,"Norwich 006D","Total",842,106,147,513,76,427,39,42,297,49,415,67,105,216,27
"E01026867",2011,"Norwich 006E","Total",575,65,154,292,64,303,27,45,180,51,272,38,109,112,13
"E01026868",2011,"Norwich 006F","Total",607,91,163,296,57,326,25,63,198,40,281,66,100,98,17
"E01026869",2011,"Norwich 006G","Total",513,52,139,287,35,262,15,31,188,28,251,37,108,99,7
"E01033434",2011,"Norwich 011G","Total",712,40,82,464,126,416,16,27,282,91,296,24,55,182,35
"E01033435",2011,"Norwich 005G","Total",891,87,149,529,126,435,28,30,291,86,456,59,119,238,40
"E01033436",2011,"Norwich 005H","Total",530,68,122,296,44,260,19,33,172,36,270,49,89,124,8
"E01033437",2011,"Norwich 011H","Total",552,66,150,301,35,287,30,57,177,23,265,36,93,124,12
"E01033438",2011,"Norwich 014A","Total",621,48,99,367,107,368,20,45,229,74,253,28,54,138,33
"E01033439",2011,"Norwich 014B","Total",930,55,133,627,115,519,23,56,349,91,411,32,77,278,24
"E01033440",2011,"Norwich 014C","Total",667,43,104,425,95,390,21,31,261,77,277,22,73,164,18
"E01033441",2011,"Norwich 014D","Total",846,40,73,578,155,508,19,27,348,114,338,21,46,230,41
