"lsoa11cd","date","lsoa11nm","Rural Urban","Occupation: All categories: Occupation; measures: Value","Occupation: 1. Managers, directors and senior officials; measures: Value","Occupation: 11. Corporate managers and directors; measures: Value","Occupation: 111. Chief Executives and Senior Officials; measures: Value","Occupation: 112. Production Managers and Directors; measures: Value","Occupation: 113. Functional Managers and Directors; measures: Value","Occupation: 115. Financial Institution Managers and Directors; measures: Value","Occupation: 116. Managers and Directors in Transport and Logistics; measures: Value","Occupation: 117. Senior Officers in Protective Services; measures: Value","Occupation: 118. Health and Social Services Managers and Directors; measures: Value","Occupation: 119. Managers and Directors in Retail and Wholesale; measures: Value","Occupation: 12. Other managers and proprietors; measures: Value","Occupation: 121. Managers and Proprietors in Agriculture Related Services; measures: Value","Occupation: 122. Managers and Proprietors in Hospitality and Leisure Services; measures: Value","Occupation: 124. Managers and Proprietors in Health and Care Services; measures: Value","Occupation: 125. Managers and Proprietors in Other Services; measures: Value","Occupation: 2. Professional occupations; measures: Value","Occupation: 21. Science research, engineering and technology professionals; measures: Value","Occupation: 211. Natural and Social Science Professionals; measures: Value","Occupation: 212. Engineering Professionals; measures: Value","Occupation: 213. Information Technology and Telecommunications Professionals; measures: Value","Occupation: 214. Conservation and Environment Professionals; measures: Value","Occupation: 215. Research and Development Managers; measures: Value","Occupation: 22. Health professionals; measures: Value","Occupation: 221. Health Professionals; measures: Value","Occupation: 222. Therapy Professionals; measures: Value","Occupation: 223. Nursing and Midwifery Professionals; measures: Value","Occupation: 23. Teaching and educational professionals; measures: Value","Occupation: 231. Teaching and Educational Professionals; measures: Value","Occupation: 24. Business, media and public service professionals; measures: Value","Occupation: 241. Legal Professionals; measures: Value","Occupation: 242. Research and Administrative Professionals; measures: Value","Occupation: 243. Architects, Town Planners and Surveyors; measures: Value","Occupation: 244. Welfare Professionals; measures: Value","Occupation: 245. Librarians and Related Professionals; measures: Value","Occupation: 246. Quality and Regulatory Professionals; measures: Value","Occupation: 247. Media Professionals; measures: Value","Occupation: 3. Associate professional and technical occupations; measures: Value","Occupation: 31. Science, engineering and technology associate professionals; measures: Value","Occupation: 311. Science, Engineering and Production Technicians; measures: Value","Occupation: 312. Draughtspersons and Related Architectural Technicians; measures: Value","Occupation: 313. Information Technology Technicians; measures: Value","Occupation: 32. Health and social care associate professionals; measures: Value","Occupation: 321. Health Associate Professionals; measures: Value","Occupation: 323. Welfare and Housing Associate Professionals; measures: Value","Occupation: 33. Protective Service Occupations; measures: Value","Occupation: 331. Protective Service Occupations; measures: Value","Occupation: 34. Culture, media and sports occupations; measures: Value","Occupation: 341. Artistic, Literary and Media Occupations; measures: Value","Occupation: 342. Design Occupations; measures: Value","Occupation: 344. Sports and Fitness Occupations; measures: Value","Occupation: 35. Business and public service associate professionals; measures: Value","Occupation: 351. Transport Associate Professionals; measures: Value","Occupation: 352. Legal Associate Professionals; measures: Value","Occupation: 353. Business, Finance and Related Associate Professionals; measures: Value","Occupation: 354. Sales, Marketing and Related Associate Professionals; measures: Value","Occupation: 355. Conservation and Environmental associate professionals; measures: Value","Occupation: 356. Public Services and Other Associate Professionals; measures: Value","Occupation: 4. Administrative and secretarial occupations; measures: Value","Occupation: 41. Administrative occupations; measures: Value","Occupation: 411. Government and Related Organisations; measures: Value","Occupation: 412. Finance; measures: Value","Occupation: 413. Records; measures: Value","Occupation: 415. Other Administrative Occupations; measures: Value","Occupation: 416. Office Managers and Supervisors; measures: Value","Occupation: 42. Secretarial and related occupations; measures: Value","Occupation: 421. Secretarial and Related Occupations; measures: Value","Occupation: 5. Skilled trades occupations; measures: Value","Occupation: 51. Skilled agricultural and related trades; measures: Value","Occupation: 511. Agricultural and Related Trades; measures: Value","Occupation: 52. Skilled metal, electrical and electronic trades; measures: Value","Occupation: 521. Metal Forming, Welding and Related Trades; measures: Value","Occupation: 522. Metal Machining, Fitting and Instrument Making Trades; measures: Value","Occupation: 523. Vehicle Trades; measures: Value","Occupation: 524. Electrical and Electronic Trades; measures: Value","Occupation: 525. Skilled Metal, Electrical and Electronic Trades Supervisors; measures: Value","Occupation: 53. Skilled construction and building trades; measures: Value","Occupation: 531. Construction and Building Trades; measures: Value","Occupation: 532. Building Finishing Trades; measures: Value","Occupation: 533. Construction and Building Trades Supervisors; measures: Value","Occupation: 54. Textiles, printing and other skilled trades; measures: Value","Occupation: 541. Textiles and Garments Trades; measures: Value","Occupation: 542. Printing Trades; measures: Value","Occupation: 543. Food Preparation and Hospitality Trades; measures: Value","Occupation: 544. Other Skilled Trades; measures: Value","Occupation: 6. Caring, leisure and other service occupations; measures: Value","Occupation: 61. Caring personal service occupations; measures: Value","Occupation: 612. Childcare and Related Personal Services; measures: Value","Occupation: 613. Animal Care and Control Services; measures: Value","Occupation: 614. Caring Personal Services; measures: Value","Occupation: 62. Leisure, travel and related personal service occupations; measures: Value","Occupation: 621. Leisure and Travel Services; measures: Value","Occupation: 622. Hairdressers and Related Services; measures: Value","Occupation: 623. Housekeeping and Related Services; measures: Value","Occupation: 624. Cleaning and Housekeeping Managers and Supervisors; measures: Value","Occupation: 7. Sales and customer service occupations; measures: Value","Occupation: 71. Sales occupations; measures: Value","Occupation: 711. Sales Assistants and Retail Cashiers; measures: Value","Occupation: 712. Sales Related Occupations; measures: Value","Occupation: 713. Sales Supervisors; measures: Value","Occupation: 72. Customer service occupations; measures: Value","Occupation: 721. Customer Service Occupations; measures: Value","Occupation: 722. Customer Service Managers and Supervisors; measures: Value","Occupation: 8. Process, plant and machine operatives; measures: Value","Occupation: 81. Process, plant and machine operatives; measures: Value","Occupation: 811. Process Operatives; measures: Value","Occupation: 812. Plant and Machine Operatives; measures: Value","Occupation: 813. Assemblers and Routine Operatives; measures: Value","Occupation: 814. Construction Operatives; measures: Value","Occupation: 82. Transport and mobile machine drivers and operatives; measures: Value","Occupation: 821. Road Transport Drivers; measures: Value","Occupation: 822. Mobile Machine Drivers and Operatives; measures: Value","Occupation: 823. Other Drivers and Transport Operatives; measures: Value","Occupation: 9. Elementary occupations; measures: Value","Occupation: 91. Elementary trades and related occupations; measures: Value","Occupation: 911. Elementary Agricultural Occupations; measures: Value","Occupation: 912. Elementary Construction Occupations; measures: Value","Occupation: 913. Elementary Process Plant Occupations; measures: Value","Occupation: 92. Elementary administration and service occupations; measures: Value","Occupation: 921. Elementary Administration Occupations; measures: Value","Occupation: 923. Elementary Cleaning Occupations; measures: Value","Occupation: 924. Elementary Security Occupations; measures: Value","Occupation: 925. Elementary Sales Occupations; measures: Value","Occupation: 926. Elementary Storage Occupations; measures: Value","Occupation: 927. Other Elementary Services Occupations; measures: Value"
"E01026804",2011,"Norwich 004B","Total",611,32,20,1,4,6,0,2,0,0,7,12,0,1,1,10,58,19,4,4,7,4,0,18,3,2,13,9,9,12,1,4,3,1,1,2,0,62,12,10,1,1,6,1,5,9,9,6,3,1,2,29,0,0,16,10,0,3,62,45,7,13,9,10,6,17,17,91,2,2,26,3,4,13,6,0,38,31,6,1,25,3,2,18,2,65,52,13,3,36,13,2,4,6,1,83,68,54,5,9,15,13,2,56,22,12,3,4,3,34,27,4,3,102,15,2,3,10,87,13,30,8,5,17,14
"E01026805",2011,"Norwich 004C","Total",594,35,21,0,6,4,0,1,0,2,8,14,1,5,3,5,26,5,0,3,1,1,0,8,4,1,3,5,5,8,0,2,2,4,0,0,0,26,4,3,0,1,2,0,2,4,4,3,1,2,0,13,0,0,2,8,0,3,60,46,5,11,12,16,2,14,14,104,5,5,39,5,9,15,8,2,38,23,12,3,22,3,5,10,4,76,63,16,0,47,13,2,5,4,2,94,81,66,8,7,13,12,1,68,33,13,9,3,8,35,30,5,0,105,5,0,2,3,100,15,34,4,6,20,21
"E01026806",2011,"Norwich 004D","Total",635,43,31,1,4,8,1,2,0,1,14,12,1,2,1,8,58,17,1,5,10,1,0,12,1,1,10,19,19,10,0,3,1,4,1,0,1,91,14,7,0,7,8,1,7,12,12,12,6,4,2,45,0,1,12,15,0,17,71,54,9,11,12,19,3,17,17,102,4,4,29,6,2,7,13,1,42,31,11,0,27,1,1,23,2,67,51,13,2,36,16,5,7,3,1,60,48,43,4,1,12,11,1,51,23,11,8,2,2,28,23,2,3,92,7,0,4,3,85,12,28,4,4,6,31
"E01026807",2011,"Norwich 004E","Total",620,47,29,1,8,3,1,3,0,3,10,18,0,9,0,9,101,20,3,6,11,0,0,22,7,1,14,28,28,31,1,12,5,5,2,1,5,81,8,6,0,2,12,2,10,4,4,14,8,4,2,43,0,3,14,14,1,11,65,50,9,13,13,15,0,15,15,74,4,4,32,4,6,9,10,3,24,19,4,1,14,0,1,13,0,71,59,19,2,38,12,2,6,3,1,46,37,33,2,2,9,8,1,48,27,7,7,6,7,21,19,2,0,87,7,0,4,3,80,13,27,10,3,8,19
"E01026808",2011,"Norwich 004F","Total",500,34,24,0,2,2,1,3,0,0,16,10,0,5,0,5,49,11,0,6,4,0,1,14,5,0,9,12,12,12,1,5,2,2,0,0,2,37,4,3,0,1,5,0,5,5,5,7,3,2,2,16,0,0,5,8,0,3,41,31,9,2,6,13,1,10,10,65,4,4,16,1,3,7,4,1,19,12,7,0,26,1,3,20,2,52,39,7,1,31,13,2,2,5,4,71,67,57,5,5,4,4,0,35,18,5,6,2,5,17,13,2,2,116,10,0,4,6,106,6,49,6,2,14,29
"E01026809",2011,"Norwich 004G","Total",573,24,20,0,4,0,2,1,0,1,12,4,0,1,0,3,27,11,2,3,6,0,0,8,2,1,5,5,5,3,0,1,0,1,0,0,1,46,9,4,2,3,5,0,5,9,9,3,2,1,0,20,0,0,7,7,1,5,44,36,5,7,12,12,0,8,8,82,1,1,25,1,7,11,5,1,35,25,9,1,21,5,4,11,1,60,43,12,2,29,17,2,7,4,4,102,82,75,2,5,20,17,3,77,43,17,8,8,10,34,22,10,2,111,17,0,5,12,94,8,30,11,3,23,19
"E01026810",2011,"Norwich 012A","Total",571,74,51,7,13,16,1,4,1,3,6,23,0,6,1,16,189,39,12,11,14,1,1,60,31,8,21,46,46,44,8,17,8,8,0,0,3,56,7,4,1,2,12,3,9,4,4,6,3,1,2,27,0,1,10,11,0,5,63,48,8,7,16,13,4,15,15,52,2,2,16,1,6,5,3,1,23,18,5,0,11,0,1,7,3,42,33,15,0,18,9,4,4,1,0,41,35,32,2,1,6,4,2,15,6,1,3,2,0,9,5,4,0,39,1,0,0,1,38,3,8,2,0,6,19
"E01026811",2011,"Norwich 012B","Total",669,100,64,4,17,17,6,0,0,10,10,36,0,3,6,27,248,34,10,8,16,0,0,70,47,8,15,68,68,76,21,31,10,4,1,2,7,90,9,5,0,4,8,4,4,3,3,18,13,2,3,52,1,1,20,12,0,18,78,62,11,16,14,20,1,16,16,31,4,4,8,0,0,1,7,0,11,8,3,0,8,1,1,6,0,39,29,15,0,14,10,2,6,1,1,34,29,26,1,2,5,5,0,15,8,3,1,2,2,7,7,0,0,34,5,2,1,2,29,3,8,2,2,1,13
"E01026812",2011,"Norwich 012C","Total",741,88,62,1,11,16,6,2,0,6,20,26,1,6,1,18,231,55,15,10,27,1,2,54,29,4,21,80,80,42,9,16,4,8,0,1,4,95,13,8,1,4,5,2,3,4,4,13,8,3,2,60,1,6,14,26,0,13,84,68,7,18,18,20,5,16,16,45,3,3,16,1,4,4,7,0,13,9,4,0,13,0,2,10,1,54,45,19,0,26,9,3,4,2,0,76,63,56,2,5,13,9,4,26,9,3,0,4,2,17,14,2,1,42,4,1,2,1,38,5,6,4,0,3,20
"E01026813",2011,"Norwich 012D","Total",595,67,53,4,15,10,1,3,6,3,11,14,0,3,0,11,199,38,8,7,19,2,2,55,30,8,17,66,66,40,7,14,9,2,3,1,4,76,12,6,1,5,9,3,6,9,9,14,7,3,4,32,0,3,9,12,0,8,69,48,12,11,6,16,3,21,21,40,4,4,12,2,3,0,7,0,14,12,2,0,10,0,3,6,1,40,33,15,0,18,7,2,4,1,0,42,29,29,0,0,13,8,5,19,12,8,1,3,0,7,6,0,1,43,6,1,1,4,37,9,6,4,0,2,16
"E01026814",2011,"Norwich 012E","Total",633,43,32,0,12,9,1,0,0,0,10,11,1,4,0,6,113,26,9,6,10,1,0,36,20,4,12,28,28,23,3,10,3,5,0,1,1,57,7,6,1,0,4,1,3,4,4,12,7,4,1,30,1,1,8,8,0,12,56,39,4,11,8,15,1,17,17,72,6,6,19,4,5,4,6,0,31,20,11,0,16,0,1,14,1,64,46,20,0,26,18,8,6,4,0,68,59,57,0,2,9,7,2,63,30,11,8,5,6,33,26,5,2,97,7,0,5,2,90,6,29,11,6,7,31
"E01026815",2011,"Norwich 012F","Total",711,83,52,2,13,17,2,0,1,3,14,31,1,5,4,21,303,42,16,2,20,1,3,107,58,18,31,81,81,73,10,33,5,12,0,1,12,100,8,5,0,3,18,6,12,4,4,18,11,4,3,52,1,1,16,17,0,17,64,53,3,14,15,19,2,11,11,34,0,0,10,1,2,4,2,1,10,9,1,0,14,0,2,10,2,33,26,11,1,14,7,5,1,0,1,38,29,24,0,5,9,6,3,16,9,1,5,3,0,7,5,2,0,40,4,2,0,2,36,3,5,3,4,4,17
