"lsoa11cd","date","lsoa11nm","Rural Urban","Household Lifestage: All categories: Household lifestage; measures: Value","Household Lifestage: Age of HRP under 35: Total; measures: Value","Household Lifestage: Age of HRP under 35: One person household; measures: Value","Household Lifestage: Age of HRP under 35: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP under 35: Two or more person household: With dependent children; measures: Value","Household Lifestage: Age of HRP 35 to 54: Total; measures: Value","Household Lifestage: Age of HRP 35 to 54: One person household; measures: Value","Household Lifestage: Age of HRP 35 to 54: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP 35 to 54: Two or more person household: With dependent children; measures: Value","Household Lifestage: Age of HRP 55 to 64: Total; measures: Value","Household Lifestage: Age of HRP 55 to 64: One person household; measures: Value","Household Lifestage: Age of HRP 55 to 64: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP 55 to 64: Two or more person household: With dependent children; measures: Value","Household Lifestage: Age of HRP 65 and over: Total; measures: Value","Household Lifestage: Age of HRP 65 and over: One person household; measures: Value","Household Lifestage: Age of HRP 65 and over: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP 65 and over: Two or more person household: With dependent children; measures: Value"
"E01026855",2011,"Norwich 011D","Total",773,242,86,133,23,247,87,74,86,122,57,58,7,162,102,59,1
"E01026856",2011,"Norwich 011E","Total",847,368,82,251,35,268,111,70,87,115,54,50,11,96,59,36,1
"E01026857",2011,"Norwich 011F","Total",751,156,34,106,16,202,59,50,93,100,42,45,13,293,192,98,3
"E01026858",2011,"Norwich 010A","Total",745,194,56,74,64,196,70,42,84,86,36,44,6,269,161,107,1
"E01026859",2011,"Norwich 010B","Total",640,174,26,69,79,249,29,63,157,64,23,36,5,153,76,74,3
"E01026860",2011,"Norwich 010C","Total",470,99,15,61,23,124,32,37,55,72,20,46,6,175,85,89,1
"E01026861",2011,"Norwich 010D","Total",549,161,12,87,62,180,20,52,108,74,14,56,4,134,59,70,5
"E01026862",2011,"Norwich 010E","Total",497,83,5,48,30,175,16,47,112,79,15,53,11,160,86,72,2
"E01026863",2011,"Norwich 006A","Total",771,251,33,162,56,261,64,92,105,102,38,62,2,157,80,73,4
"E01026864",2011,"Norwich 006B","Total",657,129,18,34,77,253,52,89,112,117,24,80,13,158,75,82,1
"E01026865",2011,"Norwich 006C","Total",805,282,49,107,126,301,74,77,150,90,34,48,8,132,79,52,1
"E01026866",2011,"Norwich 006D","Total",767,267,74,146,47,263,112,61,90,92,39,49,4,145,68,76,1
"E01026867",2011,"Norwich 006E","Total",562,141,20,37,84,241,42,71,128,75,23,40,12,105,51,54,0
"E01026868",2011,"Norwich 006F","Total",565,176,21,58,97,221,30,62,129,76,27,42,7,92,41,45,6
"E01026869",2011,"Norwich 006G","Total",657,167,60,20,87,246,87,46,113,107,54,47,6,137,63,71,3
"E01033434",2011,"Norwich 011G","Total",615,288,128,130,30,176,83,50,43,68,38,26,4,83,62,20,1
"E01033435",2011,"Norwich 005G","Total",705,312,53,155,104,289,51,89,149,58,19,36,3,46,21,25,0
"E01033436",2011,"Norwich 005H","Total",596,170,36,60,74,182,40,49,93,88,22,63,3,156,89,66,1
"E01033437",2011,"Norwich 011H","Total",786,207,102,53,52,260,132,54,74,133,90,35,8,186,136,48,2
"E01033438",2011,"Norwich 014A","Total",878,211,104,90,17,217,111,60,46,96,66,26,4,354,276,77,1
"E01033439",2011,"Norwich 014B","Total",763,329,137,165,27,292,144,94,54,74,43,26,5,68,42,25,1
"E01033440",2011,"Norwich 014C","Total",662,298,148,119,31,259,161,50,48,63,38,25,0,42,30,12,0
"E01033441",2011,"Norwich 014D","Total",773,426,213,176,37,232,151,53,28,52,33,19,0,63,31,31,1
