"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Accommodation type; measures: Value","Dwelling Type: Unshared dwelling: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value","Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"E01026852",2011,"Norwich 011A","Total",1234,1234,977,291,565,121,257,214,41,2,0,0
"E01026853",2011,"Norwich 011B","Total",1746,1746,794,61,172,561,952,876,48,28,0,0
"E01026855",2011,"Norwich 011D","Total",1564,1543,1240,153,202,885,303,211,79,13,0,21
"E01026856",2011,"Norwich 011E","Total",1821,1802,1539,59,167,1313,263,173,75,15,0,19
"E01026857",2011,"Norwich 011F","Total",1515,1512,1257,306,263,688,255,198,51,6,0,3
"E01026858",2011,"Norwich 010A","Total",1508,1508,848,53,372,423,660,629,23,8,0,0
"E01026859",2011,"Norwich 010B","Total",1659,1659,1474,316,959,199,185,151,11,23,0,0
"E01026860",2011,"Norwich 010C","Total",1098,1098,866,330,276,260,227,218,9,0,5,0
"E01026861",2011,"Norwich 010D","Total",1493,1493,1384,93,881,410,109,93,16,0,0,0
"E01026862",2011,"Norwich 010E","Total",1302,1302,1277,287,653,337,25,17,8,0,0,0
"E01026863",2011,"Norwich 006A","Total",1814,1814,1609,292,618,699,198,172,23,3,7,0
"E01026864",2011,"Norwich 006B","Total",1547,1546,1386,334,498,554,160,150,9,1,0,1
"E01026865",2011,"Norwich 006C","Total",1949,1949,1660,147,672,841,289,261,26,2,0,0
"E01026866",2011,"Norwich 006D","Total",1574,1574,1374,88,378,908,200,176,24,0,0,0
"E01026867",2011,"Norwich 006E","Total",1592,1592,1451,122,879,450,140,116,16,8,1,0
"E01026868",2011,"Norwich 006F","Total",1623,1621,1521,242,737,542,92,67,19,6,8,2
"E01026869",2011,"Norwich 006G","Total",1400,1400,1030,55,323,652,370,362,6,2,0,0
"E01033434",2011,"Norwich 011G","Total",1076,1076,498,47,55,396,578,559,11,8,0,0
"E01033435",2011,"Norwich 005G","Total",1845,1845,1705,804,639,262,140,130,10,0,0,0
"E01033436",2011,"Norwich 005H","Total",1383,1383,1032,178,568,286,351,330,21,0,0,0
"E01033437",2011,"Norwich 011H","Total",1334,1334,364,42,68,254,970,927,33,10,0,0
"E01033438",2011,"Norwich 014A","Total",1350,1336,570,70,128,372,766,611,93,62,0,14
"E01033439",2011,"Norwich 014B","Total",1357,1282,815,29,93,693,465,263,191,11,2,75
"E01033440",2011,"Norwich 014C","Total",1070,1070,191,29,31,131,879,829,39,11,0,0
"E01033441",2011,"Norwich 014D","Total",1229,1229,295,20,59,216,929,895,31,3,5,0
