"lsoa11cd","date","lsoa11nm","Rural Urban","NS-SeC: All categories: NS-SeC of household reference person; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: 8. Never worked and long-term unemployed; measures: Value","NS-SeC: L14.1 Never worked; measures: Value","NS-SeC: L14.2 Long-term unemployed; measures: Value","NS-SeC: Not classified; measures: Value","NS-SeC: L15 Full-time students; measures: Value","NS-SeC: L17 Not classifiable for other reasons; measures: Value"
"E01026821",2011,"Norwich 013F","Total",1180,62,15,0,15,47,26,18,1,2,178,95,69,15,11,0,61,22,121,56,44,12,9,134,26,26,0,108,104,4,105,62,43,40,3,236,56,81,42,30,0,27,0,279,39,20,96,124,0,56,28,28,9,9,0
"E01026822",2011,"Norwich 007A","Total",1587,237,26,0,26,211,127,67,11,6,326,213,149,21,33,10,79,34,166,98,50,15,3,118,19,19,0,99,99,0,120,95,25,25,0,237,56,120,17,29,3,2,10,154,25,7,20,97,5,102,52,50,127,127,0
"E01026823",2011,"Norwich 007B","Total",1565,311,31,1,30,280,149,89,32,10,340,204,157,18,25,4,105,31,169,96,52,18,3,152,48,48,0,104,103,1,111,80,31,31,0,195,56,96,4,26,0,8,5,123,30,13,30,48,2,51,25,26,113,113,0
"E01026824",2011,"Norwich 007C","Total",1218,135,16,0,16,119,83,25,11,0,207,139,110,24,4,1,47,21,120,54,33,20,13,71,11,11,0,60,60,0,105,58,47,45,2,222,85,79,25,25,0,4,4,209,32,11,64,97,5,60,24,36,89,89,0
"E01026825",2011,"Norwich 007D","Total",1133,113,21,0,21,92,52,29,9,2,268,182,143,15,18,6,61,25,109,66,25,15,3,121,25,25,0,96,96,0,96,41,55,50,5,145,61,44,9,20,0,9,2,134,24,11,39,60,0,63,35,28,84,84,0
"E01026826",2011,"Norwich 007E","Total",1167,69,9,0,9,60,22,31,1,6,210,131,108,7,15,1,62,17,124,60,47,16,1,120,45,45,0,75,75,0,104,76,28,25,3,205,65,103,3,19,3,12,0,208,28,11,65,104,0,100,46,54,27,27,0
"E01026827",2011,"Norwich 007F","Total",1134,75,6,0,6,69,46,19,2,2,161,104,86,7,10,1,36,21,109,51,29,14,15,98,24,24,0,74,72,2,94,51,43,40,3,234,74,97,13,24,0,19,7,210,21,12,60,117,0,104,54,50,49,49,0
"E01026828",2011,"Norwich 002A","Total",1548,58,15,0,15,43,24,12,4,3,176,98,85,8,3,2,62,16,169,79,49,27,14,114,39,39,0,75,75,0,180,112,68,57,11,278,88,93,13,42,7,31,4,426,33,45,161,187,0,116,56,60,31,31,0
"E01026829",2011,"Norwich 002B","Total",1893,136,22,0,22,114,68,43,3,0,306,193,135,35,18,5,88,25,199,97,68,15,19,160,27,27,0,133,132,1,199,85,114,99,15,370,137,142,18,45,10,14,4,316,55,14,73,166,8,165,76,89,42,42,0
"E01026830",2011,"Norwich 002C","Total",984,62,10,0,10,52,26,23,1,2,188,91,74,12,5,0,67,30,91,49,26,6,10,57,7,7,0,50,50,0,99,55,44,31,13,215,53,88,16,37,0,14,7,174,17,30,68,59,0,82,49,33,16,16,0
"E01026831",2011,"Norwich 002D","Total",1160,137,22,0,22,115,53,53,8,1,366,273,234,10,27,2,54,39,134,45,60,20,9,121,18,18,0,103,103,0,78,43,35,31,4,156,48,63,7,23,0,13,2,87,2,9,24,52,0,28,12,16,53,53,0
"E01026832",2011,"Norwich 002E","Total",1237,48,11,0,11,37,21,12,4,0,112,67,54,10,3,0,38,7,116,37,61,10,8,149,15,15,0,134,134,0,138,79,59,56,3,246,40,103,24,60,4,8,7,276,42,10,86,138,0,117,46,71,35,35,0
"E01026833",2011,"Norwich 002F","Total",1187,32,8,0,8,24,14,7,3,0,121,67,55,12,0,0,41,13,107,35,44,11,17,93,23,23,0,70,70,0,136,73,63,58,5,296,82,120,21,61,1,3,8,267,27,41,80,119,0,123,60,63,12,12,0
"E01026834",2011,"Norwich 002G","Total",1279,42,1,0,1,41,24,12,5,0,148,69,58,8,3,0,59,20,136,56,54,19,7,110,25,25,0,85,83,2,166,73,93,90,3,262,60,107,29,49,3,14,0,310,16,25,137,132,0,88,49,39,17,17,0
"E01026835",2011,"Norwich 009A","Total",1326,270,24,0,24,246,152,51,33,10,372,299,222,29,45,3,65,8,104,49,36,15,4,89,20,20,0,69,69,0,30,19,11,11,0,99,23,49,3,8,3,4,9,24,7,0,6,11,0,17,16,1,321,321,0
"E01026836",2011,"Norwich 009B","Total",1439,335,62,0,62,273,182,59,26,6,534,406,306,47,33,20,91,37,100,50,30,20,0,81,25,25,0,56,56,0,26,23,3,3,0,86,17,36,5,4,0,4,20,33,6,0,13,14,0,12,6,6,232,232,0
"E01026837",2011,"Norwich 009C","Total",1270,347,54,2,52,293,171,54,66,2,371,301,217,26,36,22,54,16,89,52,27,7,3,89,38,38,0,51,51,0,53,25,28,20,8,105,36,42,2,20,0,5,0,57,16,5,23,11,2,14,7,7,145,145,0
"E01026838",2011,"Norwich 009D","Total",1390,353,47,0,47,306,172,90,35,9,443,341,285,21,29,6,62,40,95,46,18,23,8,122,34,34,0,88,88,0,27,13,14,11,3,60,23,22,3,1,0,9,2,37,10,3,10,14,0,3,1,2,250,250,0
"E01026839",2011,"Norwich 009E","Total",1513,245,31,0,31,214,156,39,17,2,390,318,255,19,27,17,40,32,144,75,55,9,5,80,17,17,0,63,63,0,47,32,15,15,0,92,35,29,1,15,0,2,10,37,17,0,19,1,0,9,4,5,469,469,0
"E01026840",2011,"Norwich 009F","Total",1492,253,41,0,41,212,155,41,16,0,451,354,281,19,46,8,64,33,162,84,59,19,0,121,22,22,0,99,90,9,65,33,32,32,0,112,27,48,6,12,2,4,13,62,17,0,15,30,0,23,13,10,243,243,0
"E01026841",2011,"Norwich 003A","Total",1328,199,19,0,19,180,99,71,8,2,319,209,157,23,27,2,70,40,196,104,71,16,5,103,27,27,0,76,76,0,96,33,63,62,1,188,72,62,8,27,4,7,8,151,16,16,62,53,4,24,14,10,52,52,0
"E01026842",2011,"Norwich 003B","Total",1468,184,32,0,32,152,68,66,11,7,350,188,155,19,10,4,107,55,211,107,76,23,5,182,30,30,0,152,142,10,138,79,59,54,5,177,50,86,11,18,4,5,3,140,18,16,50,56,0,32,14,18,54,54,0
"E01026843",2011,"Norwich 003C","Total",1619,155,15,0,15,140,92,40,8,0,381,260,206,32,17,5,73,48,178,81,56,34,7,164,14,14,0,150,150,0,160,55,105,102,3,260,86,127,14,22,0,9,2,196,25,24,61,84,2,92,54,38,33,32,1
"E01026844",2011,"Norwich 003D","Total",1548,90,16,0,16,74,33,38,3,0,309,202,135,27,32,8,72,35,195,97,74,16,8,137,20,20,0,117,113,4,177,97,80,66,14,251,55,116,20,45,2,10,3,233,6,21,85,117,4,115,69,46,41,41,0
"E01026845",2011,"Norwich 003E","Total",1469,144,22,0,22,122,72,37,12,1,430,295,234,26,29,6,97,38,241,88,104,33,16,135,24,24,0,111,111,0,121,60,61,54,7,172,37,72,19,28,4,11,1,160,25,4,77,48,6,24,6,18,42,42,0
"E01026846",2011,"Norwich 003F","Total",1476,139,15,0,15,124,59,59,4,2,392,263,219,19,23,2,105,24,181,104,47,23,7,136,18,18,0,118,116,2,140,94,46,44,2,233,64,112,10,35,2,8,2,151,17,14,49,65,6,49,21,28,55,55,0
"E01026848",2011,"Norwich 015A","Total",1512,116,22,0,22,94,48,33,12,1,216,120,98,15,7,0,70,26,153,86,44,20,3,149,45,45,0,104,104,0,136,96,40,31,9,286,69,148,11,48,1,8,1,312,32,37,102,141,0,121,76,45,23,23,0
"E01026849",2011,"Norwich 015B","Total",1494,321,48,0,48,273,131,112,25,5,513,341,234,60,39,8,127,45,166,100,33,25,8,131,46,46,0,85,85,0,80,42,38,38,0,156,45,59,10,22,0,13,7,62,9,3,19,27,4,29,9,20,36,36,0
"E01026850",2011,"Norwich 015C","Total",1632,224,26,0,26,198,92,82,23,1,437,284,224,34,20,6,117,36,222,140,45,25,12,179,50,50,0,129,127,2,114,66,48,40,8,210,59,91,4,44,0,10,2,164,17,4,94,49,0,53,12,41,29,29,0
"E01026852",2011,"Norwich 011A","Total",1005,317,68,0,68,249,160,57,31,1,333,258,214,23,17,4,55,20,102,70,18,12,2,97,22,22,0,75,73,2,42,16,26,25,1,53,12,25,2,2,1,2,9,34,7,0,15,12,0,12,6,6,15,15,0
"E01026853",2011,"Norwich 011B","Total",1402,230,38,0,38,192,74,104,11,3,291,207,157,37,9,4,53,31,142,78,49,14,1,124,40,40,0,84,84,0,122,67,55,52,3,204,76,80,6,31,1,6,4,174,20,11,65,78,0,87,43,44,28,26,2
"E01026855",2011,"Norwich 011D","Total",1355,252,27,0,27,225,121,73,30,1,373,283,233,19,25,6,62,28,133,87,35,11,0,140,45,45,0,95,95,0,60,40,20,20,0,115,45,51,3,9,0,5,2,79,11,6,36,26,0,23,9,14,180,180,0
"E01026856",2011,"Norwich 011E","Total",1691,296,22,0,22,274,203,54,14,3,449,379,293,33,43,10,58,12,150,76,52,19,3,79,21,21,0,58,58,0,68,40,28,23,5,108,41,44,2,8,0,7,6,86,15,1,25,41,4,41,25,16,414,414,0
"E01026857",2011,"Norwich 011F","Total",1143,294,53,0,53,241,148,41,41,11,310,216,152,26,35,3,76,18,89,45,31,7,6,116,29,29,0,87,83,4,28,21,7,6,1,59,19,20,4,11,0,0,5,56,15,4,12,20,5,10,5,5,181,181,0
"E01026858",2011,"Norwich 010A","Total",1149,75,7,0,7,68,65,2,1,0,146,100,71,8,21,0,18,28,81,32,29,15,5,79,4,4,0,75,74,1,99,59,40,37,3,215,68,88,7,36,2,6,8,173,14,18,63,78,0,75,30,45,206,206,0
"E01026859",2011,"Norwich 010B","Total",1444,178,28,0,28,150,106,29,6,9,296,181,154,4,23,0,83,32,92,41,34,11,6,107,9,9,0,98,98,0,147,84,63,63,0,196,57,85,24,23,1,6,0,197,30,40,39,88,0,60,32,28,171,171,0
"E01026860",2011,"Norwich 010C","Total",849,96,5,0,5,91,70,14,0,7,112,69,52,3,14,0,31,12,80,42,10,18,10,88,12,12,0,76,74,2,66,16,50,48,2,97,27,25,16,8,0,14,7,81,7,7,34,33,0,30,12,18,199,199,0
"E01026861",2011,"Norwich 010D","Total",1294,50,15,0,15,35,25,8,2,0,147,75,68,4,3,0,43,29,99,57,26,13,3,103,10,10,0,93,93,0,108,50,58,47,11,218,77,97,14,22,0,8,0,197,18,14,60,101,4,93,35,58,279,279,0
"E01026862",2011,"Norwich 010E","Total",1070,153,26,0,26,127,83,22,22,0,201,137,106,12,19,0,39,25,74,48,13,13,0,103,45,45,0,58,58,0,97,57,40,39,1,122,44,59,4,15,0,0,0,124,14,18,43,49,0,46,34,12,150,150,0
"E01026863",2011,"Norwich 006A","Total",1595,204,28,0,28,176,126,35,15,0,325,236,166,25,39,6,51,38,142,60,52,17,13,149,21,21,0,128,128,0,114,46,68,68,0,171,33,84,6,21,0,18,9,144,23,9,51,60,1,58,36,22,288,288,0
"E01026864",2011,"Norwich 006B","Total",1318,74,15,0,15,59,28,26,5,0,263,158,126,16,9,7,63,42,149,76,42,23,8,190,34,34,0,156,154,2,162,94,68,60,8,209,43,75,24,56,0,6,5,204,11,14,79,100,0,45,22,23,22,22,0
"E01026865",2011,"Norwich 006C","Total",1768,127,21,0,21,106,66,29,7,4,227,133,98,15,18,2,73,21,136,51,44,34,7,179,42,42,0,137,135,2,177,86,91,85,6,344,114,126,17,66,4,10,7,313,31,35,78,168,1,121,46,75,144,142,2
"E01026866",2011,"Norwich 006D","Total",1371,165,17,0,17,148,103,44,0,1,306,204,151,35,15,3,69,33,155,100,35,18,2,128,22,22,0,106,106,0,102,58,44,40,4,185,48,74,17,29,0,10,7,121,16,11,38,54,2,52,14,38,157,157,0
"E01026867",2011,"Norwich 006E","Total",1436,62,4,0,4,58,41,17,0,0,151,97,69,13,15,0,40,14,53,18,25,9,1,161,23,23,0,138,138,0,162,105,57,56,1,271,61,108,10,65,5,17,5,346,32,32,103,179,0,164,87,77,66,66,0
"E01026868",2011,"Norwich 006F","Total",1500,93,5,0,5,88,57,15,16,0,153,91,76,4,4,7,45,17,130,47,35,35,13,135,26,26,0,109,109,0,97,44,53,47,6,283,82,125,21,27,7,18,3,324,19,33,86,186,0,96,66,30,189,189,0
"E01026869",2011,"Norwich 006G","Total",1208,19,2,0,2,17,15,2,0,0,140,87,79,4,2,2,40,13,71,32,17,19,3,138,21,20,1,117,116,1,111,79,32,24,8,303,123,96,30,43,1,7,3,300,22,27,96,155,0,110,50,60,16,16,0
"E01033434",2011,"Norwich 011G","Total",970,237,14,0,14,223,128,62,15,18,299,196,140,29,23,4,79,24,108,56,19,26,7,57,23,23,0,34,34,0,43,22,21,21,0,76,27,24,2,8,0,8,7,54,12,0,12,26,4,16,10,6,80,80,0
"E01033435",2011,"Norwich 005G","Total",1773,358,30,0,30,328,229,73,21,5,394,265,230,21,12,2,99,30,127,60,52,13,2,111,22,22,0,89,89,0,115,56,59,49,10,152,17,83,8,29,3,9,3,116,16,9,26,65,0,39,15,24,361,360,1
"E01033436",2011,"Norwich 005H","Total",1170,118,25,0,25,93,64,27,2,0,142,85,64,15,2,4,34,23,97,46,26,15,10,64,8,8,0,56,50,6,91,52,39,30,9,210,72,66,17,36,0,12,7,227,11,11,80,120,5,91,39,52,130,130,0
"E01033437",2011,"Norwich 011H","Total",1101,115,20,0,20,95,52,23,15,5,196,138,100,14,23,1,36,22,98,57,22,15,4,85,9,9,0,76,76,0,82,56,26,23,3,198,48,100,8,26,1,8,7,144,31,16,23,70,4,94,39,55,89,88,1
"E01033438",2011,"Norwich 014A","Total",927,181,27,0,27,154,88,34,31,1,250,164,108,17,33,6,65,21,101,62,29,10,0,76,42,42,0,34,34,0,80,54,26,22,4,70,20,32,2,7,0,4,5,64,16,3,10,33,2,59,26,33,46,46,0
"E01033439",2011,"Norwich 014B","Total",1270,222,21,0,21,201,106,68,27,0,325,214,160,18,30,6,75,36,166,85,52,25,4,101,18,18,0,83,81,2,104,67,37,34,3,168,48,62,12,21,4,13,8,99,32,6,16,45,0,47,16,31,38,38,0
"E01033440",2011,"Norwich 014C","Total",1013,159,15,0,15,144,55,60,20,9,236,156,114,17,21,4,63,17,112,66,29,16,1,72,22,22,0,50,50,0,81,59,22,18,4,126,30,52,14,19,0,9,2,117,21,8,35,50,3,44,21,23,66,65,1
